col,stat,tipo,canal,canal_desc,operacion,window,is_smmlv
trx_mnt_cr_bcrio_trf_smmlv,trx,mnt,cr_bcrio,cr_bcrio,trf,none,True
trx_mnt_pos_cmpr_smmlv,trx,mnt,pos,pos,cmpr,none,True
trx_mnt_pos_pag_smmlv,trx,mnt,pos,pos,pag,none,True
trx_mnt_pos_ret_smmlv,trx,mnt,pos,pos,ret,none,True
trx_mnt_pse_emp_cmpr_smmlv,trx,mnt,pse_emp,pse empresas,cmpr,none,True
trx_mnt_pse_per_cmpr_smmlv,trx,mnt,pse_per,pse personas,cmpr,none,True
trx_mnt_rec_e_v_cmpr_smmlv,trx,mnt,rec_e_v,rec_e_v,cmpr,none,True
trx_mnt_rec_e_v_pag_smmlv,trx,mnt,rec_e_v,rec_e_v,pag,none,True
trx_mnt_suc_fis_dep_smmlv,trx,mnt,suc_fis_dep,suc_fis_dep,none,none,True
trx_mnt_suc_fis_pag_smmlv,trx,mnt,suc_fis,sucursal fisica,pag,none,True
trx_mnt_suc_fis_ret_smmlv,trx,mnt,suc_fis,sucursal fisica,ret,none,True
trx_mnt_suc_fis_trf_smmlv,trx,mnt,suc_fis,sucursal fisica,trf,none,True
trx_mnt_suc_tel_pag_ob_smmlv,trx,mnt,suc_tel_pag,sucursal telefonica,ob,none,True
trx_mnt_suc_tel_ut_c_cr_smmlv,trx,mnt,suc_tel_ut_c,suc_tel_ut_c,cr,none,True
trx_mnt_sv_pyme_trf_smmlv,trx,mnt,sv_pyme,sucursal virtual pymes,trf,none,True
trx_mnt_sve_dvs_smmlv,trx,mnt,sve_dvs,sve_dvs,none,none,True
trx_mnt_sve_pag_smmlv,trx,mnt,sve_pag,sve_pag,none,none,True
trx_mnt_sve_pag_ob_smmlv,trx,mnt,sve_pag,sve_pag,ob,none,True
trx_mnt_sve_trf_smmlv,trx,mnt,sve,sucursal virtual empresa,trf,none,True
trx_mnt_sve_ut_c_cr_smmlv,trx,mnt,sve_ut_c,sve_ut_c,cr,none,True
trx_mnt_svp_dvs_smmlv,trx,mnt,svp_dvs,svp_dvs,none,none,True
